strain_id,contig,start,end,strand,gene,pct_coverage,pct_identity,database,accession,product,drug_class,on_plasmid,conjugative,is_upstream,is_downstream,is_flank_both,risk_level,risk_reason,raw_risk_level,curated_category,curation_reason,confidence,include_in_mobile_ARG_analysis,curated_risk_level
E_faecalis_V583,NC_004668.1,2213988,2214959,-,vanH_in_vanB_cl,100.0,99.79,builtin,U35369.1,vanH_in_vanB_cl [Enterococcus faecalis],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,2214956,2215783,-,vanW_in_vanB_cl,100.0,100.0,builtin,U35369.1,vanW_in_vanB_cl [Enterococcus faecalis],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,2215801,2216607,-,vanY_in_vanB_cl,100.0,100.0,builtin,U35369.1,vanY_in_vanB_cl [Enterococcus faecalis],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,2216783,2218126,-,vanS_in_vanB_cl,100.0,100.0,builtin,U35369.1,vanS_in_vanB_cl [Enterococcus faecalis],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,2218126,2218788,-,vanR_in_vanB_cl,100.0,100.0,builtin,U35369.1,vanR_in_vanB_cl [Enterococcus faecalis],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,2631164,2632660,-,lsaA,100.0,98.4,builtin,AY225127.1,lsaA [Enterococcus faecalis ATCC 29212],lincosamide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,2798453,2800180,-,efrA,100.0,98.9,builtin,NZ_PTWF01000025.1,efrA [Enterococcus faecalis],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
E_faecalis_V583,NC_004668.1,2994908,2997064,-,IreK,100.0,98.79,builtin,CP124778.1,IreK [Enterococcus faecalis],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
E_faecalis_V583,NC_004669.1,6333,7079,+,ErmB,100.0,97.99,builtin,AF242872.1,ErmB [Enterococcus faecium],macrolide,False,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
E_faecalis_V583,NC_004669.1,8712,9035,+,qacH,100.0,98.46,builtin,Y16945.1,qacH [Staphylococcus saprophyticus],unclassified,False,False,True,True,True,High,IS elements flanking both sides,High,biocide_or_stress_marker,Quaternary-ammonium (biocide) efflux; not a classic antibiotic ARG.,high,False,Excluded-curated
E_faecalis_V583,NC_004669.1,49141,50580,+,AAC6_Ie_APH2_Ia,100.0,100.0,builtin,GU565967.1,AAC6_Ie_APH2_Ia [Staphylococcus aureus],aminoglycoside,False,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
E_faecalis_OG1RF,NC_017316.1,1352639,1353133,+,dfrE,100.0,97.98,builtin,AIIS01000002.1,dfrE [Enterococcus faecalis EnGen0074],trimethoprim,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_OG1RF,NC_017316.1,2205194,2206690,-,lsaA,100.0,98.26,builtin,AY225127.1,lsaA [Enterococcus faecalis ATCC 29212],lincosamide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_OG1RF,NC_017316.1,2340417,2342144,-,efrA,100.0,99.13,builtin,NZ_PTWF01000025.1,efrA [Enterococcus faecalis],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
E_faecalis_OG1RF,NC_017316.1,2521837,2523993,-,IreK,100.0,98.7,builtin,CP124778.1,IreK [Enterococcus faecalis],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_HS11286,NC_016838.1,31843,32718,-,CTX-M-14,100.0,100.0,builtin,AF252622.2,CTX-M-14 [Escherichia coli],beta-lactam,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_HS11286,NC_016839.1,29746,30606,+,TEM-1,100.0,100.0,builtin,AL513383.1,TEM-1 [Salmonella enterica subsp. enterica serovar Typhi str. CT18],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,30776,31531,+,rmtB,100.0,100.0,builtin,AM886293.1,rmtB [Escherichia coli],aminoglycoside,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,37349,38563,-,cmlA9,100.0,100.0,builtin,AY963803.6,cmlA9 [Salmonella enterica subsp. enterica serovar Emek],phenicol,True,False,False,True,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,39745,40092,-,qacEdelta1,100.0,100.0,builtin,U49101.1,qacEdelta1 [Pseudomonas aeruginosa],unclassified,True,False,False,True,False,Medium,non-conjugative plasmid,Medium,biocide_or_stress_marker,"qacE-delta1; class 1 integron 3'-CS marker. Integron-associated biocide marker, not an antibiotic ARG itself.",high,False,Excluded-curated
K_pneumoniae_HS11286,NC_016839.1,40256,41035,-,aadA2,100.0,99.87,builtin,AF156486.1,aadA2 [Klebsiella pneumoniae],aminoglycoside,True,False,False,True,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,49820,50680,+,TEM-1,100.0,100.0,builtin,AL513383.1,TEM-1 [Salmonella enterica subsp. enterica serovar Typhi str. CT18],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,51095,51931,-,APH(6)-Id,100.0,99.88,builtin,AF024602.1,APH(6)-Id [Pseudomonas aeruginosa],aminoglycoside,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,51931,52734,-,APH(3'')-Ib,100.0,99.75,builtin,AF313472.2,APH(3'')-Ib [Pseudomonas aeruginosa],aminoglycoside,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,52795,53610,-,sul2,100.0,100.0,builtin,AY055428.1,sul2 [Vibrio cholerae],sulfonamide,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,82527,83402,+,CTX-M-14,100.0,100.0,builtin,AF252622.2,CTX-M-14 [Escherichia coli],beta-lactam,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_HS11286,NC_016845.1,646217,646636,+,FosA6,100.0,98.81,builtin,KU254579.1,FosA6 [Escherichia coli],fosfomycin,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,ambiguous_requires_validation,fosA: often intrinsic/chromosomal in Klebsiella/Enterobacter but can be acquired. Confirm context.,low,True,Low
K_pneumoniae_HS11286,NC_016845.1,804078,806426,-,LptD,100.0,100.0,builtin,CP007727.1,LptD [Klebsiella pneumoniae subsp. pneumoniae KPNIH10],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_HS11286,NC_016845.1,1936314,1937438,-,OmpA,100.0,99.82,builtin,FO834906.1,OmpA [Klebsiella pneumoniae],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_HS11286,NC_016845.1,2508706,2509068,+,Kpne_KpnE,100.0,99.45,builtin,AP006725.1,Kpne_KpnE [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_HS11286,NC_016845.1,2509055,2509384,+,Kpne_KpnF,100.0,100.0,builtin,AP006725.1,Kpne_KpnF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_HS11286,NC_016845.1,2549403,2550263,-,SHV-182,100.0,99.88,builtin,KP050489.1,SHV-182 [Klebsiella pneumoniae],beta-lactam,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
K_pneumoniae_HS11286,NC_016845.1,3655612,3657051,-,MdtQ,100.0,99.79,builtin,CP133868.1,MdtQ [Klebsiella pneumoniae],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,efflux_or_regulatory_marker,Multidrug efflux transporter (mdt family); commonly intrinsic/chromosomal.,medium,False,Excluded-curated
K_pneumoniae_HS11286,NC_016845.1,4119624,4120796,+,Kpne_KpnG,100.0,99.49,builtin,ACWO01000051.1,Kpne_KpnG [Klebsiella sp. 4_1_44FAA],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_HS11286,NC_016845.1,4999278,5000933,-,ArnT,100.0,99.82,builtin,FO834906.1,ArnT [Klebsiella pneumoniae],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,intrinsic_core_gene,4-amino-4-deoxy-L-arabinose transferase; core LPS modification (polymyxin). Chromosomal.,medium,False,Excluded-curated
K_pneumoniae_HS11286,NC_016845.1,5080749,5082473,-,eptB,100.0,99.65,builtin,FO203501.1,eptB [Klebsiella pneumoniae subsp. rhinoscleromatis SB3432],unclassified,False,False,True,False,False,Medium,single flanking IS element,Medium,intrinsic_core_gene,"Phosphoethanolamine transferase; core LPS-modification locus (polymyxin context). Chromosomal, not mobile cargo.",high,False,Excluded-curated
K_pneumoniae_HS11286,NC_016846.1,20557,21438,+,KPC-2,100.0,100.0,builtin,AY034847.1,KPC-2 [Klebsiella pneumoniae],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016846.1,41723,42583,+,TEM-1,100.0,100.0,builtin,AL513383.1,TEM-1 [Salmonella enterica subsp. enterica serovar Typhi str. CT18],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009648.1,55104,57452,-,LptD,100.0,99.66,builtin,CP007727.1,LptD [Klebsiella pneumoniae subsp. pneumoniae KPNIH10],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_MGH78578,NC_009648.1,1120326,1121450,-,OmpA,100.0,99.73,builtin,FO834906.1,OmpA [Klebsiella pneumoniae],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_MGH78578,NC_009648.1,1743439,1743801,+,Kpne_KpnE,100.0,99.45,builtin,AP006725.1,Kpne_KpnE [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_MGH78578,NC_009648.1,1743788,1744117,+,Kpne_KpnF,100.0,100.0,builtin,AP006725.1,Kpne_KpnF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_MGH78578,NC_009648.1,1784144,1785004,-,SHV-40,100.0,99.88,builtin,AF535128.1,SHV-40 [Klebsiella pneumoniae],beta-lactam,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
K_pneumoniae_MGH78578,NC_009648.1,2824079,2825518,-,MdtQ,100.0,99.65,builtin,CP133868.1,MdtQ [Klebsiella pneumoniae],unclassified,False,False,True,False,False,Medium,single flanking IS element,Medium,efflux_or_regulatory_marker,Multidrug efflux transporter (mdt family); commonly intrinsic/chromosomal.,medium,False,Excluded-curated
K_pneumoniae_MGH78578,NC_009648.1,3262907,3264082,+,oqxA,100.0,99.4,builtin,EU370913.1,oqxA [Escherichia coli],quinolone,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,ambiguous_requires_validation,oqxAB efflux: chromosomal/intrinsic in Klebsiella but plasmid-borne elsewhere. Context-dependent; confirm location.,low,True,Low
K_pneumoniae_MGH78578,NC_009648.1,3264106,3267258,+,oqxB,100.0,98.92,builtin,EU370913.1,oqxB [Escherichia coli],quinolone,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,ambiguous_requires_validation,oqxAB efflux: chromosomal/intrinsic in Klebsiella but plasmid-borne elsewhere. Context-dependent; confirm location.,low,True,Low
K_pneumoniae_MGH78578,NC_009648.1,3312172,3313344,+,Kpne_KpnG,100.0,99.32,builtin,ACWO01000051.1,Kpne_KpnG [Klebsiella sp. 4_1_44FAA],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
K_pneumoniae_MGH78578,NC_009648.1,4198304,4199959,-,ArnT,100.0,99.34,builtin,FO834906.1,ArnT [Klebsiella pneumoniae],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,intrinsic_core_gene,4-amino-4-deoxy-L-arabinose transferase; core LPS modification (polymyxin). Chromosomal.,medium,False,Excluded-curated
K_pneumoniae_MGH78578,NC_009648.1,4279920,4281644,-,eptB,100.0,99.77,builtin,FO203501.1,eptB [Klebsiella pneumoniae subsp. rhinoscleromatis SB3432],unclassified,False,False,True,False,False,Medium,single flanking IS element,Medium,intrinsic_core_gene,"Phosphoethanolamine transferase; core LPS-modification locus (polymyxin context). Chromosomal, not mobile cargo.",high,False,Excluded-curated
K_pneumoniae_MGH78578,NC_009648.1,5217428,5217847,+,FosA6,100.0,99.52,builtin,KU254579.1,FosA6 [Escherichia coli],fosfomycin,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,ambiguous_requires_validation,fosA: often intrinsic/chromosomal in Klebsiella/Enterobacter but can be acquired. Confirm context.,low,True,Low
K_pneumoniae_MGH78578,NC_009650.1,10117,10977,+,SHV-12,100.0,100.0,builtin,KF976405.1,SHV-12 [Enterobacter cloacae],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009650.1,18886,19440,+,AAC(6')-Ib',100.0,99.82,builtin,AY660529.1,AAC(6')-Ib' [Pseudomonas aeruginosa],aminoglycoside,True,False,False,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009650.1,20358,21182,+,OXA-9,100.0,99.88,builtin,M55547.1,OXA-9 [Klebsiella pneumoniae],beta-lactam,True,False,False,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009650.1,21882,22742,+,TEM-90,100.0,99.88,builtin,AF351241.1,TEM-90 [Escherichia coli],beta-lactam,True,False,False,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009651.1,12226,13029,+,APH(3'')-Ib,100.0,99.88,builtin,AF313472.2,APH(3'')-Ib [Pseudomonas aeruginosa],aminoglycoside,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
